id,pt_in,pt_out,tt_in,tt_out,vf_fr,vf_td,vf_su,pt_in_s,pt_out_s,tt_in_s,tt_out_s,vf_fr_s,vf_td_s,vf_su_s
131,2.94,2.93,18.78,30.5,0.0,0.0,3744621.0,2.94,2.93,18.78,30.5,0.0,72.16,3011037.0
132,2.95,2.61,18.72,30.15,0.0,0.0,3744621.0,2.95,2.61,18.72,30.15,0.0,72.16,3011037.0
133,2.9,2.87,18.08,25.39,0.0,0.0,3744621.0,2.9,2.87,18.08,25.39,3218.64,1580.25,3012546.0
134,2.95,2.94,18.71,29.22,0.0,0.0,3744621.0,2.95,2.94,18.71,29.22,0.0,2278.2,3013243.0
135,2.95,2.94,18.75,30.02,0.0,0.0,3744621.0,2.95,2.94,18.75,30.02,0.0,2278.2,3013243.0
136,2.97,2.97,26.43,30.31,0.0,0.0,3744621.0,2.97,2.97,26.43,30.31,0.0,2278.68,3013244.0
137,2.97,2.97,29.29,30.87,0.0,0.0,3744621.0,2.97,2.97,29.29,30.87,0.0,2278.68,3013244.0
138,2.97,2.96,27.88,28.84,0.0,0.0,3744621.0,2.97,2.96,27.88,28.84,0.0,2278.68,3013244.0
139,2.91,2.91,25.44,26.44,0.0,0.0,3744621.0,2.91,2.91,25.44,26.44,1215.56,2752.71,3013718.0
140,2.83,2.82,22.76,23.97,0.0,0.0,3744621.0,2.83,2.82,22.76,23.97,644.05,3636.24,3014602.0
141,2.76,2.76,21.14,21.88,0.0,0.0,3744621.0,2.76,2.76,21.14,21.88,682.33,4292.11,3015257.0
142,2.7,2.69,20.17,20.5,0.0,0.0,3744621.0,2.7,2.69,20.17,20.5,648.99,4963.43,3015929.0
143,2.62,2.61,19.23,19.61,0.0,0.0,3744621.0,2.62,2.61,19.23,19.61,874.33,5734.64,3016700.0
144,2.72,2.71,19.59,19.05,0.0,0.0,3744621.0,2.72,2.71,19.59,19.05,586.6,6547.48,3017513.0
145,2.95,2.95,19.11,18.61,0.0,0.0,3744621.0,2.95,2.95,19.11,18.61,536.36,7100.39,3018066.0
146,2.9,2.89,18.77,18.01,0.0,0.0,3744621.0,2.9,2.89,18.77,18.01,514.86,7630.07,3018595.0
147,2.85,2.84,18.55,17.45,0.0,0.0,3744621.0,2.85,2.84,18.55,17.45,523.21,8131.8,3019097.0
148,2.8,2.79,18.41,16.98,0.0,0.0,3744621.0,2.8,2.79,18.41,16.98,476.61,8632.2,3019598.0
149,2.98,2.97,18.46,16.49,0.0,0.0,3744621.0,2.98,2.97,18.46,16.49,428.9,9094.08,3020059.0
150,2.94,2.93,18.31,15.89,0.0,0.0,3744621.0,2.94,2.93,18.31,15.89,409.31,9509.41,3020475.0
151,2.86,2.85,17.81,15.85,0.0,0.0,3744621.0,2.86,2.85,17.81,15.85,1699.74,10269.63,3021235.0
152,2.99,2.98,18.64,18.88,0.0,0.0,3744621.0,2.99,2.98,18.64,18.88,1453.66,12196.14,3023162.0
153,2.95,2.95,21.88,24.77,0.0,0.0,3744621.0,2.95,2.95,21.88,24.77,615.65,8.73,3024203.0
154,2.92,2.92,18.22,29.66,0.0,0.0,3744621.0,2.92,2.92,18.22,29.66,0.0,43.55,3024238.0
155,2.85,2.85,18.11,34.02,0.0,0.0,3744621.0,2.85,2.85,18.11,34.02,0.0,43.55,3024238.0
156,2.86,2.85,18.23,35.8,0.0,0.0,3744621.0,2.86,2.85,18.23,35.8,0.0,43.97,3024238.0
157,2.95,2.94,24.01,31.73,0.0,0.0,3744621.0,2.95,2.94,24.01,31.73,604.0,2313.18,3026507.0
158,2.98,2.98,33.97,35.75,0.0,0.0,3744621.0,2.98,2.98,33.97,35.75,528.73,2847.8,3027042.0
159,2.97,2.96,36.48,37.98,0.0,0.0,3744621.0,2.97,2.96,36.48,37.98,520.37,3375.6,3027570.0
160,2.92,2.91,36.59,39.99,0.0,0.0,3744621.0,2.92,2.91,36.59,39.99,503.14,3887.19,3028081.0
161,2.78,2.77,19.97,41.11,0.0,0.0,3744621.0,2.78,2.77,19.97,41.11,472.72,4383.55,3028578.0
162,2.86,2.85,18.42,39.63,0.0,0.0,3744621.0,2.86,2.85,18.42,39.63,516.51,4891.98,3029086.0
163,2.91,2.9,18.17,35.44,0.0,0.0,3744621.0,2.91,2.9,18.17,35.44,422.77,5365.27,3029559.0
164,2.97,2.97,22.16,28.53,0.0,0.0,3744621.0,2.97,2.97,22.16,28.53,640.29,6630.16,3030824.0
165,2.92,2.91,22.08,25.46,0.0,0.0,3744621.0,2.92,2.91,22.08,25.46,658.92,7231.0,3031425.0
166,2.85,2.84,21.69,23.72,0.0,0.0,3744621.0,2.85,2.84,21.69,23.72,694.18,7905.1,3032099.0
167,2.77,2.77,21.46,23.26,0.0,0.0,3744621.0,2.77,2.77,21.46,23.26,765.7,8640.96,3032835.0
168,2.82,2.82,21.52,22.86,0.0,0.0,3744621.0,2.82,2.82,21.52,22.86,789.79,9390.09,3033584.0
169,2.96,2.95,21.04,22.14,0.0,0.0,3744621.0,2.96,2.95,21.04,22.14,501.09,10149.0,3034343.0
170,2.91,2.9,20.77,21.5,0.0,0.0,3744621.0,2.91,2.9,20.77,21.5,480.39,10648.86,3034843.0
171,2.86,2.86,20.48,21.0,0.0,0.0,3744621.0,2.86,2.86,20.48,21.0,422.48,11101.69,3035296.0
172,2.86,2.86,20.43,20.21,0.0,0.0,3744621.0,2.86,2.86,20.43,20.21,0.0,11112.45,3035307.0
173,2.86,2.86,20.32,19.66,0.0,0.0,3744621.0,2.86,2.86,20.32,19.66,0.0,11112.45,3035307.0
174,2.87,2.86,20.24,19.38,0.0,0.0,3744621.0,2.87,2.86,20.24,19.38,1485.72,11124.62,3035319.0
175,2.98,2.97,18.66,19.05,0.0,0.0,3744621.0,2.98,2.97,18.66,19.05,1349.1,12642.21,3036837.0
176,2.83,2.82,18.68,21.46,0.0,0.0,3744621.0,2.83,2.82,18.68,21.46,2256.95,14142.76,3038337.0
177,2.94,2.93,22.14,26.09,0.0,0.0,3744621.0,2.94,2.93,22.14,26.09,1570.7,23.73,3040205.0
178,2.76,2.75,17.91,30.19,0.0,0.0,3744621.0,2.76,2.75,17.91,30.19,700.55,695.6,3040877.0
179,2.82,2.81,18.19,35.41,0.0,0.0,3744621.0,2.82,2.81,18.19,35.41,675.68,1439.88,3041621.0
180,2.87,2.87,18.55,38.39,0.0,0.0,3744621.0,2.87,2.87,18.55,38.39,507.89,2011.02,3042192.0
181,2.9,2.88,31.96,38.38,0.0,0.0,3744621.0,2.9,2.88,31.96,38.38,2926.64,2842.41,3043024.0
182,2.83,2.83,36.89,40.11,0.0,0.0,3744621.0,2.83,2.83,36.89,40.11,572.9,3603.78,3043785.0
183,2.78,2.77,36.67,40.21,0.0,0.0,3744621.0,2.78,2.77,36.67,40.21,523.8,4140.25,3044322.0
184,2.73,2.72,33.91,38.21,0.0,0.0,3744621.0,2.73,2.72,33.91,38.21,554.25,4685.16,3044866.0
185,2.67,2.67,31.54,36.21,0.0,0.0,3744621.0,2.67,2.67,31.54,36.21,542.45,5232.45,3045414.0
186,2.61,2.61,29.84,33.54,0.0,0.0,3744621.0,2.61,2.61,29.84,33.54,566.24,5794.25,3045976.0
187,3.0,2.99,27.93,31.24,0.0,0.0,3744621.0,3.0,2.99,27.93,31.24,517.71,6364.35,3046546.0
188,2.93,2.92,25.17,26.87,0.0,0.0,3744621.0,2.93,2.92,25.17,26.87,703.23,7014.5,3047196.0
189,2.85,2.85,23.07,24.4,0.0,0.0,3744621.0,2.85,2.85,23.07,24.4,776.6,7759.81,3047941.0
190,2.78,2.78,22.15,23.23,0.0,0.0,3744621.0,2.78,2.78,22.15,23.23,610.94,8454.93,3048636.0
191,2.72,2.72,21.5,22.47,0.0,0.0,3744621.0,2.72,2.72,21.5,22.47,676.31,9100.4,3049282.0
192,2.99,2.99,20.35,21.78,0.0,0.0,3744621.0,2.99,2.99,20.35,21.78,1346.9,10395.64,3050577.0
193,2.98,2.98,20.72,21.67,0.0,0.0,3744621.0,2.98,2.98,20.72,21.67,530.47,11305.1,3051486.0
194,2.92,2.92,20.78,21.6,0.0,0.0,3744621.0,2.92,2.92,20.78,21.6,543.63,11870.43,3052052.0
195,2.9,2.9,20.78,21.11,0.0,0.0,3744621.0,2.9,2.9,20.78,21.11,0.0,12127.51,3052309.0
196,2.9,2.9,20.86,20.58,0.0,0.0,3744621.0,2.9,2.9,20.86,20.58,0.0,12127.51,3052309.0
197,2.9,2.9,21.07,20.67,0.0,0.0,3744621.0,2.9,2.9,21.07,20.67,0.0,12127.51,3052309.0
198,2.9,2.9,20.92,20.09,0.0,0.0,3744621.0,2.9,2.9,20.92,20.09,0.0,12127.51,3052309.0
199,2.85,2.84,19.11,18.79,0.0,0.0,3744621.0,2.85,2.84,19.11,18.79,1529.94,12635.77,3052817.0
200,2.7,2.69,18.52,18.57,0.0,0.0,3744621.0,2.7,2.69,18.52,18.57,1847.88,14116.4,3054298.0
201,2.83,2.65,20.8,21.68,0.0,0.0,3744621.0,2.83,2.65,20.8,21.68,10247.86,1.24,3055887.0
202,2.72,2.72,17.73,27.3,0.0,0.0,3744621.0,2.72,2.72,17.73,27.3,0.0,373.35,3056257.0
203,2.78,2.78,17.69,26.47,0.0,0.0,3744621.0,2.78,2.78,17.69,26.47,0.0,373.35,3056257.0
204,3.0,3.0,23.07,25.24,0.0,0.0,3744621.0,3.0,3.0,23.07,25.24,0.0,373.44,3056257.0
205,3.0,3.0,23.87,24.37,0.0,0.0,3744621.0,3.0,3.0,23.87,24.37,0.0,373.44,3056257.0
206,2.93,2.92,23.96,24.23,0.0,0.0,3744621.0,2.93,2.92,23.96,24.23,1566.66,1039.39,3056923.0
207,2.85,2.84,23.26,23.41,0.0,0.0,3744621.0,2.85,2.84,23.26,23.41,558.32,1909.11,3057793.0
208,2.82,2.82,22.82,22.28,0.0,0.0,3744621.0,2.82,2.82,22.82,22.28,0.0,2187.32,3058071.0
209,2.82,2.82,22.61,21.56,0.0,0.0,3744621.0,2.82,2.82,22.61,21.56,0.0,2187.32,3058071.0
210,2.73,2.72,20.22,20.62,0.0,0.0,3744621.0,2.73,2.72,20.22,20.62,1591.47,3114.93,3058999.0
211,2.99,2.96,18.33,18.21,0.0,0.0,3744621.0,2.99,2.96,18.33,18.21,2731.96,4860.61,3060745.0
212,2.99,2.98,17.89,16.19,0.0,0.0,3744621.0,2.99,2.98,17.89,16.19,1589.99,7482.31,3063366.0
213,3.0,2.99,17.89,15.87,0.0,0.0,3744621.0,3.0,2.99,17.89,15.87,1825.43,9238.46,3065122.0
214,2.62,2.62,17.38,16.2,0.0,0.0,3744621.0,2.62,2.62,17.38,16.2,504.83,608.85,3075239.0
